행정코드,행정구역명,최하위행정구역명,생성일자,변경전행정구역코드
4824036022,경상남도 사천시 곤명면 용산리,용산리,1995-05-10,4883036022
4824036023,경상남도 사천시 곤명면 조장리,조장리,1995-05-10,4883036023
4824036024,경상남도 사천시 곤명면 봉계리,봉계리,1995-05-10,4883036024
4824036026,경상남도 사천시 곤명면 삼정리,삼정리,1995-05-10,4883036026
4824036028,경상남도 사천시 곤명면 마곡리,마곡리,1995-05-10,4883036028
4824036029,경상남도 사천시 곤명면 성방리,성방리,1995-05-10,4883036029
4825012000,경상남도 김해시 안동,안동,1988-04-23,20272000
4825010200,경상남도 김해시 서상동,서상동,1988-04-23,20270200
4825010300,경상남도 김해시 부원동,부원동,1988-04-23,20270300
4825010500,경상남도 김해시 대성동,대성동,1988-04-23,20270500
4481025028,충청남도 예산군 예산읍 관작리,관작리,1988-04-23,16130108
4481025029,충청남도 예산군 예산읍 창소리,창소리,1988-04-23,16130109
4481025030,충청남도 예산군 예산읍 신례원리,신례원리,1988-04-23,16130110
4481025032,충청남도 예산군 예산읍 궁평리,궁평리,1988-04-23,16130112
4773046034,경상북도 의성군 안평면 창길리,창길리,1988-10-01,19121701
4773046035,경상북도 의성군 안평면 괴산리,괴산리,1988-10-01,19121702
4723025037,경상북도 영천시 금호읍 원기리,원기리,1995-01-01,4780025037
4723025038,경상북도 영천시 금호읍 신대리,신대리,1995-01-01,4780025038
4723025039,경상북도 영천시 금호읍 남성리,남성리,1995-01-01,4780025039
4723025041,경상북도 영천시 금호읍 황정리,황정리,1995-01-01,4780025041
4723031021,경상북도 영천시 청통면 호당리,호당리,1995-01-01,4780031038
4723031022,경상북도 영천시 청통면 우천리,우천리,1995-01-01,4780031039
4723031024,경상북도 영천시 청통면 신덕리,신덕리,1995-01-01,4780031041
4723025030,경상북도 영천시 금호읍 관정리,관정리,1995-01-01,4780025030
4723025031,경상북도 영천시 금호읍 구암리,구암리,1995-01-01,4780025031
4723025033,경상북도 영천시 금호읍 대곡리,대곡리,1995-01-01,4780025033
4723025034,경상북도 영천시 금호읍 호남리,호남리,1995-01-01,4780025034
4723033033,경상북도 영천시 화산면 유성리,유성리,1995-01-01,4780033048
4825036000,경상남도 김해시 상동면,상동면,1995-05-10,4878038000
4825034025,경상남도 김해시 한림면 용덕리,용덕리,1995-05-10,4878036025
4825034026,경상남도 김해시 한림면 안곡리,안곡리,1995-05-10,4878036026
4825034028,경상남도 김해시 한림면 장방리,장방리,1995-05-10,4878036028
4825034029,경상남도 김해시 한림면 시산리,시산리,1995-05-10,4878036029
4825032000,경상남도 김해시 주촌면,주촌면,1995-05-10,4878034000
4825032022,경상남도 김해시 주촌면 원지리,원지리,1995-05-10,4878034022
4825032023,경상남도 김해시 주촌면 덕암리,덕암리,1995-05-10,4878034023
4423032032,충청남도 논산시 광석면 율리,율리,1996-03-01,4475032032
4423032033,충청남도 논산시 광석면 오강리,오강리,1996-03-01,4475032033
4423033021,충청남도 논산시 노성면 읍내리,읍내리,1996-03-01,4475033021
4423033022,충청남도 논산시 노성면 두사리,두사리,1996-03-01,4475033022
4423033023,충청남도 논산시 노성면 송당리,송당리,1996-03-01,4475033023
4423033025,충청남도 논산시 노성면 하도리,하도리,1996-03-01,4475033025
4721039030,경상북도 영주시 부석면 보계리,보계리,1995-01-01,4791039030
4723025036,경상북도 영천시 금호읍 오계리,오계리,1995-01-01,4780025036
4889041000,경상남도 합천군 대양면,대양면,1988-04-23,20251200
4889041021,경상남도 합천군 대양면 정양리,정양리,1988-04-23,20251201
4889041022,경상남도 합천군 대양면 아천리,아천리,1988-04-23,20251202
4889041024,경상남도 합천군 대양면 무곡리,무곡리,1988-04-23,20251204
4889041025,경상남도 합천군 대양면 덕정리,덕정리,1988-04-23,20251205
